type,code,name_km,name_en,province_id
ស្រុក,102,មង្គលបូរី,Mongkol Borei,1
ស្រុក,103,ភ្នំស្រុក,Phnum Srok,1
ស្រុក,104,ព្រះនេត្រព្រះ,Preah Netr Preah,1
ស្រុក,105,អូរជ្រៅ,Ou Chrov,1
ក្រុង,106,សិរីសោភ័ណ,Serei Saophoan,1
ស្រុក,107,ថ្មពួក,Thma Puok,1
ស្រុក,108,ស្វាយចេក,Svay Chek,1
ស្រុក,109,ម៉ាឡៃ,Malai,1
ក្រុង,110,ប៉ោយប៉ែត,Paoy Paet,1
ស្រុក,201,បាណន់,Banan,2
ស្រុក,202,ថ្មគោល,Thma Koul,2
ក្រុង,203,បាត់ដំបង,Battambang,2
ស្រុក,204,បវេល,Bavel,2
ស្រុក,205,ឯកភ្នំ,Aek Phnum,2
ស្រុក,206,មោងឫស្សី,Moung Ruessei,2
ស្រុក,207,រតនមណ្ឌល,Rotonak Mondol,2
ស្រុក,208,សង្កែ,Sangkae,2
ស្រុក,209,សំឡូត,Samlout,2
ស្រុក,210,សំពៅលូន,Sampov Lun,2
ស្រុក,211,ភ្នំព្រឹក,Phnum Proek,2
ស្រុក,212,កំរៀង,Kamrieng,2
ស្រុក,213,គាស់ក្រឡ,Koas Krala,2
ស្រុក,214,រុក្ខគិរី,Rukh Kiri,2
ស្រុក,301,បាធាយ,Batheay,3
ស្រុក,302,ចំការលើ,Chamkar Leu,3
ស្រុក,303,ជើងព្រៃ,Cheung Prey,3
ក្រុង,305,កំពង់ចាម,Kampong Cham,3
ស្រុក,306,កំពង់សៀម,Kampong Siem,3
ស្រុក,307,កងមាស,Kang Meas,3
ស្រុក,308,កោះសូទិន,Kaoh Soutin,3
ស្រុក,313,ព្រៃឈរ,Prey Chhor,3
ស្រុក,314,ស្រីសន្ធរ,Srei Santhor,3
ស្រុក,315,ស្ទឹងត្រង់,Stueng Trang,3
ស្រុក,401,បរិបូណ៌,Baribour,4
ស្រុក,402,ជលគីរី,Chol Kiri,4
ក្រុង,403,កំពង់ឆ្នាំង,Kampong Chhnang,4
ស្រុក,404,កំពង់លែង,Kampong Leaeng,4
ស្រុក,405,កំពង់ត្រឡាច,Kampong Tralach,4
ស្រុក,406,រលាប្អៀរ,Rolea Bier,4
ស្រុក,407,សាមគ្គីមានជ័យ,Sameakki Mean Chey,4
ស្រុក,408,ទឹកផុស,Tuek Phos,4
ស្រុក,501,បរសេដ្ឋ,Basedth,5
ក្រុង,502,ច្បារមន,Chbar Mon,5
ស្រុក,503,គងពិសី,Kong Pisei,5
ស្រុក,504,ឱរ៉ាល់,Aoral,5
ស្រុក,505,ឧដុង្គ,Odongk,5
ស្រុក,506,ភ្នំស្រួច,Phnum Sruoch,5
ស្រុក,507,សំរោងទង,Samraong Tong,5
ស្រុក,508,ថ្ពង,Thpong,5
ស្រុក,601,បារាយណ៍,Baray,6
ស្រុក,602,កំពង់ស្វាយ,Kampong Svay,6
ក្រុង,603,ស្ទឹងសែន,Stueng Saen,6
ស្រុក,604,ប្រាសាទបល្ល័ង្គ,Prasat Ballangk,6
ស្រុក,605,ប្រាសាទសំបូរ,Prasat Sambour,6
ស្រុក,606,សណ្ដាន់,Sandan,6
ស្រុក,607,សន្ទុក,Santuk,6
ស្រុក,608,ស្ទោង,Stoung,6
ស្រុក,609,តាំងគោក,Taing Kouk,6
ស្រុក,701,អង្គរជ័យ,Angkor Chey,7
ស្រុក,702,បន្ទាយមាស,Banteay Meas,7
ស្រុក,703,ឈូក,Chhuk,7
ស្រុក,704,ជុំគិរី,Chum Kiri,7
ស្រុក,705,ដងទង់,Dang Tong,7
ស្រុក,706,កំពង់ត្រាច,Kampong Trach,7
